Timestamp,Which age group do you belong to? ,  What is your gender?  ,What is your level of education? ,What is your primary occupation ?,"How many hours in a day, on average, do you spend in front of screens?",Which device do you use most frequently?,Which activity do you dedicate most of your screen time to?  ,Which app category do you use the most during your screen time?,During which part of the day do you spend most of your screen time?,What kind of environment helps you stay productive during screen use?,"After spending a long time in front of screens to complete a certain task, how do you generally feel about your productivity?",How long can you generally stay focused on a single screen-based task without distractions?,"How do you try to stay focused while working on a complex task (e.g, coding)?","While working on a screen-based task, how do you handle frequent notifications which distract you?",Does your attention span vary based on the type of task?,Do you use tools/apps to monitor or manage your screen time?,Did you struggle with your attention while filling out this survey? :)
11/26/2024 23:47:47,Below 18,Male,Undergraduate,Student,6–8,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/27/2024 0:11:53,18–24,Female,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/27/2024 0:29:33,18–24,Male,Undergraduate,Student,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/27/2024 0:33:34,Below 18,Female,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",Yes
11/27/2024 0:36:52,18–24,Male,Undergraduate,Student,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Spend time interacting with the notifications,"No, it remains consistent","Yes, they are extremely helpful",No
11/27/2024 0:43:43,25–34,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Ignore them until my task is completed,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
11/27/2024 10:09:54,Below 18,Male,High school or below,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,Moderately productive,Less than 10 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, but i did not find them of any help",No
11/27/2024 10:11:43,Below 18,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 10:12:31,18–24,Male,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)",Gaming,Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",I won't say
11/27/2024 10:12:56,18–24,Male,Undergraduate,Student,6–8,Smartphone,Entertaining test SAT,"Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 10:15:10,18–24,Male,High school or below,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",Yes
11/27/2024 10:26:26,35–44,Male,High school or below,Professional,8-10,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Morning (6 AM–12 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","Yes, they are extremely helpful",No
11/27/2024 11:19:37,35–44,Female,Graduate,Freelance/Entrepreneur,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Productivity (e.g., Microsoft Office, Notion)",Morning (6 AM–12 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
11/27/2024 11:30:34,35–44,Female,Graduate,Professional,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Collaborative/team setting,Moderately productive,30–60 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",No
11/27/2024 11:41:37,35–44,Female,Graduate,Freelance/Entrepreneur,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 11:45:56,18–24,Male,Undergraduate,Professional,2–4,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
11/27/2024 11:50:53,25–34,Female,Graduate,Housemaker,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, they are extremely helpful",I won't say
11/27/2024 11:52:36,25–34,Male,Undergraduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),I can work in any environment,Moderately productive,More than 1 hour,Take regular breaks,Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/27/2024 12:04:12,45 and above,Male,"MBA, LLB, ",Professional,8-10,Laptop/PC,Official work,Office Work ,Afternoon (12 PM–6 PM),Collaborative/team setting,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",Yes
11/27/2024 13:14:52,18–24,Male,Undergraduate,Student,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",Yes
11/27/2024 13:44:17,18–24,Male,Undergraduate,Student,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",More than 1 hour,Take regular breaks,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/27/2024 13:45:05,18–24,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",I won't say
11/27/2024 14:20:29,Below 18,Male,Undergraduate,Freelance/Entrepreneur,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",I won't say
11/27/2024 14:25:31,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",I won't say
11/27/2024 14:26:53,18–24,Male,High school or below,Professional,4–6,Smartphone,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Morning (6 AM–12 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",No
11/27/2024 15:00:27,18–24,Female,High school or below,Student,6–8,Smartphone,Academic/Work-related,"Streaming (e.g., YouTube, Netflix)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
11/27/2024 15:07:13,18–24,Female,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",30–60 minutes,Take regular breaks,Check them briefly and resume my work,"No, it remains consistent","Yes, they are extremely helpful",No
11/27/2024 15:10:54,18–24,Male,Undergraduate,Student,2–4,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Morning (6 AM–12 PM),I can work in any environment,Moderately productive,10–30 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","Yes, they are extremely helpful",No
11/27/2024 15:26:40,18–24,Female,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",Yes
11/27/2024 15:33:07,25–34,Male,Graduate,Professional,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
11/27/2024 15:49:25,18–24,Male,Undergraduate,Student,4–6,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,Moderately productive,10–30 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",Yes
11/27/2024 15:49:48,18–24,Female,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Take regular breaks,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, but i did not find them of any help",Yes
11/27/2024 15:54:31,18–24,Female,Undergraduate,Student,8-10,Smartphone,both,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",I won't say
11/27/2024 15:57:35,18–24,Male,Undergraduate,Freelance/Entrepreneur,More than 10,Laptop/PC,Academic/Work-related,A professional application,Evening (6 PM–10 PM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
11/27/2024 15:58:11,18–24,Female,Undergraduate,Student,8-10,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",30–60 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 15:58:53,18–24,Female,Undergraduate,Student,6–8,Smartphone,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/27/2024 16:02:27,18–24,Male,Undergraduate,Freelance/Entrepreneur,8-10,Smartphone,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),Background noise/music,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",Yes
11/27/2024 16:12:20,18–24,Male,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, but i did not find them of any help",I won't say
11/27/2024 17:19:19,18–24,Female,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, they are extremely helpful",I won't say
11/27/2024 17:33:48,18–24,Male,Undergraduate,Student,2–4,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
11/27/2024 17:48:18,45 and above,Female,Graduate,Professional,4–6,Smartphone,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Morning (6 AM–12 PM),Quite workplace,Moderately productive,Less than 10 minutes,Take regular breaks,Spend time interacting with the notifications,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",No
11/27/2024 17:59:44,18–24,Male,Undergraduate,Student,8-10,Laptop/PC,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",No
11/27/2024 18:01:02,Below 18,Female,Intermediate ,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 18:15:25,35–44,Female,Graduate,Professional,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Morning (6 AM–12 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/27/2024 18:17:14,Below 18,Male,High school or below,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/27/2024 18:21:28,Below 18,Prefer not to say,High school or below,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/27/2024 18:23:11,Below 18,Male,High school or below,Student,4–6,Smartphone,Academic and entertaining both,"Instagram, WhatsApp,study platforms",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"No, it remains consistent","No, i do not use them",I won't say
11/27/2024 18:28:03,18–24,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,10–30 minutes,Eliminate all distractions,Spend time interacting with the notifications,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, they are extremely helpful",No
11/27/2024 18:28:05,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,Take regular breaks,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 18:29:24,Below 18,Male,High school or below,Student,4–6,Television,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 18:33:43,Below 18,Male,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),I can work in any environment,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
11/27/2024 18:35:37,18–24,Male,High school or below,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 18:37:54,Below 18,Male,High school or below,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,30–60 minutes,Eliminate all distractions,Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/27/2024 18:40:05,Below 18,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/27/2024 18:40:20,18–24,Male,Undergraduate,Freelance/Entrepreneur,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Ignore them until my task is completed,"No, it remains consistent","Yes, they are extremely helpful",I won't say
11/27/2024 18:42:32,18–24,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",I won't say
11/27/2024 18:43:58,Below 18,Male,High school or below,Student,4–6,Tablet,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 18:49:06,18–24,Male,Undergraduate,Student,2–4,Smartphone,insta,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","Yes, they are extremely helpful",No
11/27/2024 18:49:34,18–24,Male,Intermediate ,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Eliminate all distractions,Turn off notifications altogether,"No, it remains consistent","Yes, they are extremely helpful",No
11/27/2024 19:01:14,Below 18,Male,Undergraduate,Professional,More than 10,Smartphone,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Late night (10 PM–6 AM),Background noise/music,"Extremely productive, i efficiently complete my tasks",More than 1 hour,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
11/27/2024 19:03:18,18–24,Prefer not to say,Undergraduate,Student,4–6,Smartphone,Both,Messaging and streaming ,Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",I won't say
